"label","id","record_id","key","author","title","publication year","publication title","issue","volume","item type","abstract note","doi","url","bibtexkey","most_recent_version_available","not_available","retracted","duplicate","pdf_source","access_date","personal_id","master_bachelor_thesis","notes_pdf_download","matches"
"ref_0285","3",6576,"TAJ3S8JR","Das, Miss Sonali; Song, Wenting","Monetary Policy Transmission and Policy Coordination in China",2022,NA,NA,NA,"book","We study the transmission of conventional monetary policy in China, focusing on the interaction between monetary and fiscal policy given the unique institutional set-up for macroeconomic policy making. Our results suggest some progress but also continued difficulties in the transmission of monetary policy. Similar to recent studies, we find evidence of monetary policy pass-through to interest rates. However, the impact of monetary policy measures that are not coordinated with fiscal policy is significantly weaker than that of coordinated measures. This suggests the need for further improvements to the interest-rate based framework.",NA,NA,"Das_2022_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,285
"ref_0286","3",9307,"S9VEXPRY","Jan, Asad","Monetary Policy in Pakistan: Effectiveness in Inflation Control and Stabilization",2015,NA,NA,NA,"journalArticle","Empirical evidence from VAR models (based on the conventional identification scheme) suggests that monetary policy shocks have an insignificant impact on output and inflation in Pakistan. This evidence raises concerns about the ability of the State Bank to control inflation and stabilize output. Frictions in the credit and foreign exchange markets in Pakistan could possibly impede the transmission of monetary policy effects, but our analysis of a DSGE model that incorporates such friction indicates that they do not sufficiently weaken the effect of monetary policy shocks to explain the VAR results. Another possibility is that VAR estimates understate the impact of monetary policy because of misidentification of the monetary shock. Analysis of data generated by stochastic simulation of the DSGE model supports this explanation.",NA,NA,"Jan_2015_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,286
"ref_0287","3",1083,"46SF2QRW","Jones, Garett; Kutan, Ali M.","Exchange Rate Management Strategies in the Accession Countries: The Case of Hungary",2004,"Comparative Economic Studies","Query date: 2023-02-07 14:26:29","46","journalArticle","Several leading candidate countries will eventually enter the European Monetary Union (EMU). A key question is what exchange rate management policy should be pursued after joining the European Union (EU). This paper focuses on the impact of Euro-area monetary policy on Hungary. We find that Euro-area monetary policy shocks may be destabilising for Hungary as the impact of these shocks appears to be much greater on Hungarian industrial production than on Euro-area industrial production. Thus, Hungary has much to gain by retaining some monetary policy independence during the interim period between admission to the EU and adoption of the euro in order to isolate itself from Euro-area monetary policy shocks.","10.1057/palgrave.ces.8100044","https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0730684&site=ehost-live","Jones_2004_exchange",NA,NA,NA,NA,NA,NA,NA,NA,NA,287
"ref_0288","3",8231,"DWNALK26",NA,"EFFECTIVENESS OF MONETARY TRANSMISSION MECHANISM OF INTEREST TRANSMISSION POLICY: Investigation of NAIRU (Nonaccelerating Inflation Rate of Unemployment) as an Alternative Target of Monetary Policy in Indonesia 2006-2019",NA,"International Journal of Economics, Business and Management Research",NA,NA,"journalArticle","The purpose of this research is to conduct an analysis of NAIRU (Non-Accelerating Inflation Rate of Unemployment) as an alternative monetary policy target with a study on the mechanism of monetary policy transmission in the interest rate pathway in Indonesia. This type of research is applied research so that the data used are secondary data with several variables from macroeconomic and monetary variables. The method used in this study is the first to estimate NAIRU using the Ball-Mankiw approach and to estimate the relationship between NAIRU and Inflation using VECM. The results of this study indicate that in the mechanism of monetary policy transmission of the interest rate path when using alternative NAIRU objectives, it is evident that Inflation and NAIRU have a tradeoff in both the short and long term.",NA,NA,"NA_NA_effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,288
"ref_0289","3",7573,"T7G8D44P","Choi, Jae-Young; Ratti, Ronald A.","The predictive power of alternative indicators of monetary policy",2000,"Journal of Macroeconomics","4","22","journalArticle","Nonborrowed reserve mix as a measure of monetary policy is found to dominate the federal funds rate and nonborrowed reserves in terms of forecasting power for real activity in samples starting in 1959 with a moving endpoint from 1975:8 to 1997:8. In contrast, variance-decomposition results from moving samples of fixed length, that is from a rolling VAR, do not lead to the same conclusion. When data is excluded from the early and mid 1960s, the federal funds rate starts to provide more information concerning future movement in real activity relative to that provided by nonborrowed reserve mix. Results are determined from well established VAR models in which each variable in turn is identified as monetary policy indicator.","10.1016/S0164-0704(00)00145-2","https://www.sciencedirect.com/science/article/pii/S0164070400001452","Choi_2000_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,289
"ref_0290","3",992,"3F6S4GS5","Kandil, Magda","Demand-Side Stabilization Policies: What Is the Evidence of Their Potential?",2009,"Journal of Economics and Business","3","61","journalArticle","Using disaggregated data for the United States, this paper explores the effects of the variability of fiscal and monetary policy shocks. Higher variability of government spending shocks around a steady-state growth trend results in, on average, a decline in aggregate demand growth and inflation, with limited effects on output growth. On the other hand, higher variability of monetary shocks results in, on average, an increase in inflation and a decline in output growth. These results indicate the desirability of avoiding large fluctuations over time in either government spending or the money supply.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1048430&site=ehost-live","Kandil_2009_demandside",NA,NA,NA,NA,NA,NA,NA,NA,NA,290
"ref_0291","3",6353,"4U8YYX5H","Memon, Pervaiz; Ghumro, Niaz","Impact of Monetary and Fiscal Policies on Pakistan's Economy using Vector Autoregressive Model",2014,"International SAMANM Journal of Finance and Accounting 2308-2356",NA,"2","journalArticle","This paper makes an attempt to develop a model on effects of monetary and fiscal stimulus in Pakistan economy. The well-trodden technique Vector autoregressive (VAR) has been applied on the annual time series data for the period from 1972-2007, including both fiscal and monetary sides using data on output gap, inflation, short term interest rate, and government fiscal deficit over the period. This paper makes the contribution in the literature by considering the impact of both monetary and fiscal policies together. We have found positive effect of fiscal stimulus on inflation; but that on output gap the effect is negative. Effect of interest rate on output gap and inflation has been found to be negative. For policy reaction, we have found countercyclical response of monetary policy; but that of fiscal policy is pro-cyclical. The response of interest rate to deficit financing is negative while fiscal deficit positively responds to changes in interest rate.",NA,NA,"Memon_2014_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,291
"ref_0292","3",7691,"SSL6K8XY",NA,"Monetary Policy and Bank Lending Channel - ProQuest",NA,NA,NA,NA,"webpage","The main purpose of this thesis is to evaluate whether the bank lending channel exist or not. Within this context, quarterly data of for the periods between 2002q1 and 2016q4 was taken into the consideration. Additionally, VAR model was used to reach the objective. According to the result of impulse response function, it was reached that producer price index, real exchange rate and policy rate are effective determinants. Additionally, banks balance sheet has important and positive influence on total credits but industrial production index is regarded as partially effective. While considering this result, it was also found that both bank balance and macroeconomic variables used in this thesis is the main determinants of bank total credit.",NA,"https://www.proquest.com/openview/c3e178e4309827eb014b091322b9fde4/1?pq-origsite=gscholar&cbl=2026366&diss=y","NA_NA_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,292
"ref_0293","3",6579,"C5JPI3JH","Javed, Zahoor; Muhammad, Farooq; Maqsood, Hussain; Abdur-Rehman, Shezad; Safder, Iqbal; Shama, Akram","Impact of Cost-Push and Monetary Factors on GDP Deflator: Empirical Evidence from the Economy of Pakistan",2011,"International Journal of Financial Research",NA,"2","journalArticle","The central objective of this paper is to find the validity of cost-push and monetary factors on GDP deflator through empirical analysis. The empirical analysis has been conducted by using the technique of Ordinary Least Square using annual data for the period from 1971-72 to 2006-07. Before applying OLS the stationarity of the data was checked by Augmented Dickey Fuller (ADF) test. Regression analysis proves that both cost-push and monetary factors are influenced on wholesale price index. The monetary variables have significant impact on GDP deflator.. There is no single remedy to control the raise of wholesale price index. Government should adopt multipurpose strategy such as improvement in tax and revenue structure, improving fiscal and monetary discipline, removing supply side disruptions, eradication of anti-competitive market practice.","10.5430/ijfr.v2n1p57",NA,"Javed_2011_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,293
"ref_0294","3",8752,"JC855HVQ","Fuddin, Muhammad Khoirul","Effectiveness of monetary policy transmission in Indonesia",2014,"Economic Journal of Emerging Markets",NA,NA,"journalArticle","This study discusses the channel of monetary policy transmission mechanism of money, credit, interest rate and exchange rate in Indonesia. The effectiveness of the transmission mechanism of monetary policy in Indonesia can be described and explained by the ultimate target object in Indonesia, specifically economic growth and inflation. The analytical tool used in this study is Vector Error Correction Model (VECM) which uses impulse response and variance decomposition in determining the effectiveness of monetary policy transmission mechanism. The results explain that the credit channel is considered effective in explaining economic growth and the interest rate channel is effective in explaining inflation found in Indonesia.","10.20885/ejem.vol6.iss2.art5","https://journal.uii.ac.id/JEP/article/view/4135","Fuddin_2014_effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,294
"ref_0295","3",2606,"6E4Z8NUY","Bouakez, Hafedh; Cardia, Emanuela; Ruge-Murcia, Francisco","Sectoral Price Rigidity and Aggregate Dynamics",2014,"European Economic Review",NA,"65","journalArticle","This paper studies the business cycle implications of sectoral heterogeneity in price rigidity using a highly disaggregated multi-sector model. The model is estimated by the Simulated Method of Moments using a mix of aggregate and sectoral U.S. data. The frequencies of price changes implied by our estimates are consistent with those reported in micro-based studies. We show that heterogeneity in price rigidity is the primary factor explaining the heterogeneity in the responses of sectoral output and inflation to a monetary policy shock. We also find that ignoring sectoral heterogeneity in price rigidity leads to the mismeasurement of the relative importance of aggregate and sector-specific shocks in aggregate and sectoral fluctuations.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1421961&site=ehost-live","Bouakez_2014_sectoral",NA,NA,NA,NA,NA,NA,NA,NA,NA,295
"ref_0296","3",2928,"QGPHJ7RP","Ghartey, Edward E.; Amonde, Tom M.","Stabilization Effects of Narrative-Based Monetary Policy in Jamaica",2013,"International Economic Journal","3","27","journalArticle","The study constructs a monetary policy indicator (MPI) from monetary policy documents and the actions of the Bank of Jamaica and Ministry of Finance and Economic Planning, and uses it to estimate four variants of an analytical narrative-vector error correction model (AN-VECM) with cointegration as the identifying restriction. In AN-VECMs 1 and 2, the cointegration is estimated in level form with respective short-term interest rate and the MPI as regressands. The first difference forms of respective models are re-estimated in AN-VECMs 3 and 4. The results are mixed, with AN-VECM 1 yielding the least results. However, in all cases, the impulse response functions indicate that the MPI yields slightly superior results in both AN-VECMs 2 and 4. A positive shock in the MPI produces price and exchange rate results which are consistent with a priori expectations from economic theory, and mixed liquidity effect and real output results. Thus, the MPI provides an important policy tool alternative for policymakers in small open economies to consider in the implementation of monetary policy.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1402596&site=ehost-live","Ghartey_2013_stabilization",NA,NA,NA,NA,NA,NA,NA,NA,NA,296
"ref_0297","3",7458,"FKLS3NTH","Fischer, Manfred M.; Huber, Florian; Pfarrhofer, Michael; Staufer-Steinnocher, Petra","The Dynamic Impact of Monetary Policy on Regional Housing Prices in the United States",2021,"Real Estate Economics","4","49","journalArticle","This article uses a factor-augmented vector autoregressive model to examine the impact of monetary policy shocks on housing prices. To simultaneously estimate the model parameters and unobserved factors, we rely on Bayesian estimation and inference. Policy shocks are identified using high-frequency surprises around policy announcements as an external instrument. Impulse response functions reveal differences in regional housing price responses, which in some cases are substantial. The heterogeneity in policy responses is found to be significantly related to local regulatory environments and housing supply elasticities. Moreover, housing prices responses tend to be similar within states and adjacent regions in neighboring states.","10.1111/1540-6229.12274","https://onlinelibrary.wiley.com/doi/abs/10.1111/1540-6229.12274","Fischer_2021_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,297
"ref_0298","3",7369,"K9YLZJDM","Yien, Lim; Abdullah, Hussin; Azam, Muhammad","Monetary Policy Inclusive Growth: Empirical Evidence from Malaysia",2017,"International Journal of Academic Research in Accounting, Finance and Management Sciences",NA,"7","journalArticle","The static growth of foreign direct investment since 2006 and current growth per capita of 3.11% in 2015 about 4.89% in 1980 spark a growing interest in the role of monetary policy. The unexplored causal relationship between monetary policy, unemployment, foreign direct investment and economic growth in Malaysia represents a zone of the request, as it could spell issues for these countries in their arrangement in accomplishing growth per capita. This study plan to examine the dynamic relationship between monetary policy and economic growth for Malaysia during 1980-2015. It contended that presence of the structural break in the data generating process prompts to size distortion and false conclusion in the ADF model (Perron, 1989 and Lee and Strazicich, 2003). Henceforth, this study begins with testing for stationarity properties which consider structural breaks notwithstanding the conventional ADF test. We agree with the monetarist that changes in the money supply do not affect real variables over the long haul as no evidence of causality from inflation to output nor any causality from money supply to price level from this study. Instead of the money supply, results from VAR Granger Causality found that interest rate observed to granger caused growth per capita, money supply, inflation, unemployment and foreign direct investment. This study demonstrates that changing approach of monetary policy in Malaysia from monetary targeting to interest rates targeting, in fact, a fruitful execution. We found evidence of bidirectional causality between unemployment and growth per capita in this study also in line with Mohd Noor et al., (2007). Here, we propose that Malaysia needs to elevate foreign direct investment in term of expanding growth per capita as upheld by the result of VAR granger causality where foreign direct investment found to granger caused unemployment and growth.","10.6007/IJARAFMS/v7-i1/2634",NA,"Yien_2017_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,298
"ref_0299","3",10611,"ATNSB2QW","Fseifes, Eman Abdel Khalek; Alhaj Yousef, Elham Mohammad","The Effectiveness of Monetary Policy in Jordan during the Period 1992-2019",2022,"Iranian Economic Review","3","26","journalArticle","This paper aims at investigating the effectiveness of monetary policy and the role of money in enhancing the economic growth and achieving the economic stability in Jordan. Therefore, this study uses quarterly time-series data for Jordan over the period 1992Q1 - 2019Q4 to estimate a reduced form model. The study variables are stationary at the first difference as indicated by Augmented Dickey-Fuller and Phillips-Perron unit root tests. Granger Causality test also revealed the existence of unidirectional causality running from money to the real output, and bidirectional causality between the real output and prices level. Johansen cointegration test clarified the existence of only one cointegrating relationship in the long-run. Moreover, applying Fully Modified OLS and Vector Error Correction models for estimation emphasized the significant positive short and long-run impact of money on the real GDP in Jordan, rejecting the hypothesis of neutrality of money in the long-run. The adjustment coefficient is 42% indicating that 42% of the previous quarter deviation from long-run equilibrium is corrected in the current quarter. Based on these outcomes the study recommends to improve the management of monetary authority, and focus on developing the domestic money and capital markets and their instruments, in order to sustain and strengthen the role of monetary policy in the Jordanian economy. It is also recommended that the fiscal and monetary policies should be designed to be complementary to each other rather than rivals.","10.22059/ier.2022.89089","https://ier.ut.ac.ir/article_89089.html","Fseifes_2022_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,299
"ref_0300","3",7587,"ZU3TDZDG","Ehrmann, Michael","Will EMU Generate Asymmetry? Comparing Monetary Policy Transmission Across European Countries",NA,NA,NA,NA,"journalArticle","This paper re-evaluates the estimation of monetary policy transmission. Within the Structural VAR framework, five methodological points are identified, recognition of which can help to improve the reliability and credibility of estimates. The findings of the methodological analysis are then applied to the estimation of models for thirteen European countries. Results show that considerable differences in the transmission mechanism exist between these economies, mainly in intensity, but also in timing.",NA,NA,"Ehrmann_NA_will",NA,NA,NA,NA,NA,NA,NA,NA,NA,300
"ref_0301","4",337,"HN3WUB4N","Olofin, S. O.; Salisu, A. A.; Tule, M. K.","Revised Small Macro-econometric Model of the Nigerian Economy",2020,"Applied Econometrics and International Development","1","20","journalArticle","The first operational small-scale macro-econometric model of the Nigerian Economy was developed in 2013. Ever since, the country has witnessed significant changes owing to oil price shock which culminated in internal and external imbalances. Addressing these challenges among others, informed the revision of the model. Thus, in the revised model, provisions are made for unemployment and the role of expectations and uncertainty surrounding the oil and foreign exchange markets. By simulating three alternative policy scenarios using oil price, monetary policy rate and cash reserve ratio, some striking results are obtained with implications for monetary policy in Nigeria. Alternative method was applied in the disequilibrium model of demand and supply of primary and intermediate inputs by Guisan (2011, 2013), this further supports the potential of monetary policy in addressing macroeconomic variables through interest rate channel.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1919482&site=ehost-live","Olofin_2020_revised",NA,NA,NA,NA,NA,NA,NA,NA,NA,301
"ref_0302","4",4864,"5PQ56LLE","Canova, Fabio; Gambetti, Luca","Monetary Policy and the Evolution of the US Economy",2006,NA,NA,NA,"journalArticle","This paper investigates the relationship between monetary policy and the changes experienced by the US economy using a small scale New Keynesian model. The model is estimated with Bayesian techniques and the stability of policy parameter estimates and of the transmission of policy shocks examined. The model fits well the data and produces forecasts comparable or superior to those of alternative specifications. The parameters of the policy rule, the variance and the transmission of policy shocks have been remarkably stable. The parameters of the Phillips curve and of the Euler equations are varying.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0813659&site=ehost-live","Canova_2006_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,302
"ref_0303","4",8759,"LT7N62XY","Mishra, Prachi; Montiel, Peter; Sengupta, Rajeswari","Monetary Transmission in Developing Countries: Evidence from India",2016,"Monetary Policy in India: A Modern Macroeconomic Perspective",NA,NA,"bookSection","There are strong priori reasons to believe that monetary transmission may be weaker and less reliable in low- than in high-income countries. This is as true in India as it is elsewhere. While its floating exchange rate gives the RBI monetary autonomy, the country’s limited degree of integration with world financial markets and RBI’s interventions in the foreign exchange markets limit the strength of the exchange rate channel of monetary transmission. The country lacks large and liquid secondary markets for debt instruments, as well as a well-functioning stock market. This means that monetary policy effects on aggregate demand would tend to operate primarily through the bank lending channel. Yet the formal banking sector is small, and does not intermediate for a large share of the economy. Moreover, there is evidence that not only are the costs of financial intermediation high but also that the banking system may not be very competitive. The presence of all these factors should tend to weaken the process of monetary transmission in India. This paper examines what the empirical evidence has to say about the strength of monetary transmission in India, using the structural vector autoregression (SVAR) methods that have been applied broadly to investigate this issue in many countries, including high-, middle-, and low-income ones. We estimate a monthly VAR with data from April 2001 to December 2014. Applying a variety of methods to identify exogenous movements in the policy rate in the data, we find consistently that positive shocks to the policy rate result in statistically significant effects (at least at confidence levels typically used in such applications) on the bank lending rate in the direction predicted by theory. Specifically, a tightening of monetary policy is associated with an increase in bank lending rates, consistent with evidence for the first stage of transmission in the bank lending channel. While pass-through from the policy rate to bank lending rates is in the right (theoretically expected) direction, the pass-through is incomplete. When the monetary policy variable is ordered first, effects on the real effective exchange rate are also in the theoretically expected direction on impact, but are extremely weak and not statistically significant, even at the 90 % confidence level, for any of the four monetary policy variants that we investigate. Finally, we are unable to uncover evidence for any effect of monetary policy shocks on aggregate demand, as recorded either in the industrial production (IIP) gap or the inflation rate. None of these effects are estimated with strong precision, which may reflect either instability in monetary transmission or the limitations of the empirical methodology. Overall, the empirical tests yield a mixed message on the effectiveness of monetary policy in India, but perhaps one that is more favorable than is typical of many countries at similar income levels.",NA,"https://doi.org/10.1007/978-81-322-2840-0_3","Mishra_2016_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,303
"ref_0304","4",5484,"52FDQ3RY","Brooks, Ray; Gibbs, Darren","The Reserve Bank econometric model of the New Zealand economy: Model XII",1991,NA,NA,NA,"book","Outlines the theoretical basis, econometric technique, and structure used to build the Model XII version of the econometric model of the New Zealand economy, which provides an analytical tool for monetary and exchange-rate policy analysis, and for medium-term forecasting. Presents the new estimation technique and provides a discussion of the seven broad sectors that make up the structure of the new model. Sets out the differences between the structures of the new and previous versions of the model. Outlines the transmission mechanism through which the monetary policy instrument in the model (real interest rates) affects the target variable (inflation). Presents the results of five simulation experiments, testing the effects of a monetary policy loosening, an exchange-rate shock, a fiscal expansion, a terms-of-trade shock, and a nominal-wage shock. Discusses some of the further developments planned for the model. No index.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0268757&site=ehost-live","Brooks_1991_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,304
"ref_0305","4",6758,"P4DUKGQF",NA,"Assessing the transmission of monetary policy using dynamic factor models Munich Personal RePEc Archive",NA,NA,NA,NA,"webpage","This paper extends the current literature which questions the stability of the monetary transmission mechanism, by proposing a factor-augmented vector autoregressive (VAR) model with time-varying coefficients and stochastic volatility. The VAR coefficients and error covariances may change gradually in every period or be subject to abrupt breaks. The model is applied to 143 post-World War II quarterly variables fully describing the US economy. I show that both endogenous and exogenous shocks to the US economy resulted in the high inflation volatility during the 1970s and early 1980s. The time-varying factor augmented VAR produces impulse responses of inflation which significantly reduce the price puzzle. Impulse responses of other indicators of the economy show that the most notable changes in the transmission of unanticipated monetary policy shocks occurred for GDP, investment, exchange rates and money.",NA,"https://mpra.ub.uni-muenchen.de/27593/","NA_NA_assessing",NA,NA,NA,NA,NA,NA,NA,NA,NA,305
"ref_0306","4",8867,"LIZ39MP6","Diegel, Max; Nautz, Dieter","Long-term inflation expectations and the transmission of monetary policy shocks: Evidence from a SVAR analysis",2021,"Journal of Economic Dynamics and Control",NA,"130","journalArticle","This paper investigates the role of long-term inflation expectations for the monetary transmission mechanism and the conduct of monetary policy in a structural VAR framework. In contrast to earlier studies, we find that U.S. long-term inflation expectations respond significantly to a monetary policy shock. In line with a re-anchoring channel of monetary policy, long-term inflation expectations play an important role for the transmission of monetary policy shocks to the rate of inflation. Structural scenario analysis suggests that the response of monetary policy to expectations shocks contributes to the stabilization of inflation and unemployment.","10.1016/j.jedc.2021.104192","https://www.sciencedirect.com/science/article/pii/S0165188921001275","Diegel_2021_longterm",NA,NA,NA,NA,NA,NA,NA,NA,NA,306
"ref_0307","4",7144,"YVSTQ83D","Mahmood, Tariq; Sial, Maqbool Hussain","The Relative Effectiveness of Monetary and Fiscal Policies in Economic Growth: A Case Study of Pakistan",2011,"Asian Economic and Financial Review","4","1","journalArticle","In this study the role of monetary and fiscal policies in economic growth of Pakistan is studied using time series data for the period 1973-2008. The objective of this study is to discover the ways by which fiscal and monetary policies can be established to boost economic growth, highlight present Pakistan fiscal and monetary challenges to discover regions which may yield upgrading to the fiscal and monetary framework and consequently increase employment opportunities and the budget revenues in Pakistan. The augmented Dickey Fuller unit root procedure is used to check the time series properties. The Autoregressive Distributed Lag Model technique is used to find the long-run relationship between fiscal /monetary policy and economic growth. The results show that monetary and fiscal policies both play a significant role in the economic growth of Pakistan. The relationship between GDP and Government Current Expenditure (GCE) is found to be negative while, Currency in Circulation (CIR) and Government Development Expenditure (GDE) affect GDP positively in case of Pakistan.",NA,"https://archive.aessweb.com/index.php/5002/article/view/728","Mahmood_2011_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,307
"ref_0308","4",198,"2MUE7YZ2","Fontaine, Idriss","The Conditional Ins and Outs of French Unemployment",2021,"Macroeconomic Dynamics","7","25","journalArticle","In this paper, I investigate the conditional contributions of the ins and outs of unemployment from both empirical and theoretical perspectives. Based on a New Keynesian Dynamic Stochastic General Equilibrium (DSGE) theoretical framework, I estimate a sign restriction Vector Auto Regressive (VAR) model using French data. To identify the origins of unemployment dynamics in terms of worker transition rates, I simulate two shocks: one on the supply side (technology) and the other on the demand side (monetary). The VAR model reveals that the contributions of transition rates in explaining unemployment differ across shocks. After a technology shock, unemployment fluctuations are mainly explained by the job finding process, while the contributions of the two margins are more balanced for the monetary shock. The theoretical model is not able to reproduce the underlying mechanisms inducing unemployment. In particular, the conditional contributions of the job separation margin are overestimated each time. For instance, after a technology shock, 60% of unemployment changes are generated by this margin, while the data suggest a contribution of 28%. This paper strongly indicates that, in its standard formulation, a search and matching DSGE model featuring endogenous job separations is not able to replicate the dominating influence of the outflow process.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1941515&site=ehost-live","Fontaine_2021_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,308
"ref_0309","4",1008,"BNAUH7NH","Rostom, Ahmed Mohamed","Essays on Financial Markets and Macroeconomic Performance in Least Developed Economies--Evidence from Egypt",2016,NA,NA,NA,"thesis","The objective of my dissertation research is to contribute to the quantitative-based research and policy discussion on links between macroeconomics, monetary policy and financial sector. My dissertation is motivated by the fact that financial intermediation plays a critical role in economic development in low income economies. Assessment of financial sector performance is instrumental to understand the dynamics of economic growth. My dissertation's contribution to the empirical literature on least developed economies stems from adopting rigorous and robust econometric techniques to high quality data. This paves the way forward to better assess the effectiveness of monetary policy and efficiency of financial intermediation in these economies. My analysis, which focuses on Egypt takes into consideration various political, economic and social transformations that took place during the past five decades and which have substantially affected the macroeconomic performance of the country. My dissertation follows the primary model for dissertations and is divided into three different essays. The first essay examines the Demand for Money in Egypt. The second essay investigates the presence of a Broad Credit Channel for Monetary Transmission. In the third essay, I present an Aggregate Model for Savings Behavior and its Determinants in Egypt. The objective and proposed scope of my research is detailed below. The first chapter studies money demand which is critical for defining monetary policy options. In the context of developed economies with fully functioning financial markets, money demand is influenced by transaction demand, speculation motive and opportunity costs. This doesn't hold for least developed economies where market imperfections and frictions can play a key role in money demand dynamics. These factors weren't adequately covered in the empirical literature. This chapter attempts to cover these aspect and contribute to the empirical literature with particular emphasis to Egypt. The chapter provides a mixed strategy for estimating the money demand function that incorporates shifting from a system of equations vector auto regression (VAR) approach that maintains the information relating to the feedback between variables, followed by vector equilibrium correction model (VECM) in order to investigate the nature of short term and long term interactions. Key conclusion is that real money demand in Egypt is stable and can be confidently considered by monetary authorities as an important tool to adjust for long run growth in the real economy. The second chapter focuses on the credit channel for monetary policy in Egypt. Past research has shown that healthy financial intermediation should be able to support monetary policy and has the potential to mitigate transmitting economic shocks to the real sector (Bernanke, 2007; and Stein, 1998). However most of the past research has focused on developed economies with little research being devoted to low income countries. was devoted to least developed economies despite their relatively higher contingency to volatility, political instability and difficulty in obtaining reliable data (Fernandez, 2003). The objective of this paper is to fill this gap in the literature and in particular provide answers to three main questions regarding the conduct of monetary policy in Egypt: (i) Does banks credit operate as a transmission channel for monetary policy? If not, what is the alternative channel that transmits monetary policy in Egypt? (ii) Is the credit channel important to guide monetary authorities and financial economics profession? (iii) And finally, how can Structural Vector Auto Regression (SVAR) be adopted to model monetary policy strategy for Egypt? Our findings confirm the existence of a--statistically significant--credit channel for monetary policy when considering the monetary base as an operating target. The key outcome is that the credit channel--if properly considered--can help authorities propagate monetary policy shocks to the real economy In the third chapter, I study the behavior of savings in Egypt. Private sector savings play a pivotal role in financing development and sustaining growth. Understanding the dynamics of determinants of savings is critical to inform economic policy and devise reform programs. The Egyptian government adopted an economic reform program in the 1990's, the main pillar of which was to support financial development and achieve economic growth. This followed a full liberalization of interest rates, allowing markets to determine the opportunity cost of holding money. The purpose of this paper is to investigate private savings behavior in Egypt--for the first time--using quarterly data covering 1991-2010 and adopting a Vector Equilibrium Correction Model (VECM). The key finding is that Egypt's private savings follow the Life Cycle Model proposed by Modigliani 1954 in the long term. Controlling for population growth; empirical results indicate that real interest rate and financial development are key determinants for real private savings in the long run. However, in the short run economic uncertainty proxied by inflation and devaluation of the exchange rate are key determinants of private savings decisions. Robust macroeconomic and monetary policies are pre-requisites to maximize private savings and financing growth in Egypt.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1606979&site=ehost-live","Rostom_2016_essays",NA,NA,NA,NA,NA,NA,NA,NA,NA,309
"ref_0310","4",7086,"E34NMIBF",NA,"Effectiveness of Monetary Policy in Stimulating Economic Growth in Nigeria | International Journal of Research in Social Science and Humanities (IJRSS) ISSN:2582-6220, DOI: 10.47505/IJRSS",2022,NA,NA,NA,"journalArticle","This study examined the effectiveness of monetary policy in stimulating economic growth in Nigeria between 1990 and 2019. Secondary data were sourced mainly from CBN publications. The theoretical framework was based on the Keynesian transmission mechanism. In the cause of empirical investigation, various advanced econometric techniques like Augmented Dickey Fuller Unit Root Test, ARDL Bounds Test and Error Correction Mechanism (ECM) were employed and the result revealed that all the variables were stationary at first difference except monetary policy rate that was stationary at level, meaning that the variables were integrated of different order justifying ARDL Bounds Test and error correction mechanism test. The ARDL Bounds Test result indicated that there is a long-run relationship among the variables with the lower bound and upper bound less than the calculated at 5% level of significant. The result of the error correction mechanism (ECM) test indicates an 88% adjustment back to equilibrium. It is therefore recommended that since economic growth in Nigeria is greatly influenced in the long-run by interest rate and reserve requirement making monetary policy an effective tool in stimulating economic growth. Nigerian government through its monetary authorities should unveil other policies that will stimulate economic growth not only in the long run but also, in the short run period",NA,"https://ijrss.org/index.php/ijrss/article/view/136","NA_2022_effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,310
